"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","PCI\VEN_8086&DEV_2036&SUBSYS_07381028&REV_04\3&2411E6FE&0&2C","OK","System","Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","System.String[]"
"Volume Manager","ROOT\VOLMGR\0000","OK","System","Volume Manager","System.String[]"
"Airoha_APP","BTHENUM\{00000000-0000-0000-0099-AABBCCDDEEFF}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","OK",,"Airoha_APP","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&6&UID774401","Unknown","Monitor","Generic PnP Monitor","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&6&UID774403","Unknown","Monitor","Generic PnP Monitor","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&6&UID774405","Unknown","Monitor","Generic PnP Monitor","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&6&UID774407","Unknown","Monitor","Generic PnP Monitor","System.String[]"
"USB Input Device","USB\VID_046D&PID_C534&MI_01\7&13B8B4BC&0&0001","Unknown","HIDClass","USB Input Device","System.String[]"
"Bluetooth Peripheral Device","BTHENUM\{00001800-0000-1000-8000-00805F9B34FB}_VID&0001000F_PID&1200\7&B265E0C&0&2CFDB3C85F48_C00000000","OK",,"Bluetooth Peripheral Device","System.String[]"
"Logitech Download Assistant","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","OK","HIDClass","Logitech Download Assistant","System.String[]"
"Volume","STORAGE\VOLUME\_??_USBSTOR#DISK&VEN_&PROD_USB_DISK_3.0&REV_PMAP#07190C73EC8DE198&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B}","Unknown","Volume","Volume","System.String[]"
"NVIDIA High Definition Audio","HDAUDIO\FUNC_01&VEN_10DE&DEV_0072&SUBSYS_10281190&REV_1001\5&15FAED40&0&0001","OK","MEDIA","NVIDIA High Definition Audio","System.String[]"
"Razer DeathAdder V2","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","OK","Mouse","Razer DeathAdder V2","System.String[]"
"Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&001F","OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","System.String[]"
"Volume","STORAGE\VOLUME\{882ED160-E4D1-11EC-A496-806E6F6E6963}#0000000000100000","OK","Volume","Volume","System.String[]"
"Bluetooth","SWD\RADIO\BLUETOOTH_48684A1C94B2","OK","SoftwareDevice","Bluetooth",
"ACTON III Avrcp Transport","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","OK","Bluetooth","ACTON III Avrcp Transport","System.String[]"
"USB Composite Device","USB\VID_046D&PID_C52B\6&3183D08&0&1","Unknown","USB","USB Composite Device","System.String[]"
"USB Composite Device","USB\VID_046D&PID_C52B\6&3183D08&0&2","Unknown","USB","USB Composite Device","System.String[]"
"E7 Hands-Free","BTHHFENUM\BTHHFPAUDIO\8&18465764&2&97","OK","MEDIA","E7 Hands-Free","System.String[]"
"Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894\8&1D214379&0&001F","OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","System.String[]"
"PCI-to-PCI Bridge","PCI\VEN_104C&DEV_8240&SUBSYS_07381028&REV_00\4&2D21E8BE&0&00E6","OK","System","PCI-to-PCI Bridge","System.String[]"
"HID-compliant vendor-defined device","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","Unknown","HIDClass","HID-compliant vendor-defined device","System.String[]"
