"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT9","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 2 - 204A","PCI\VEN_8086&DEV_204A&SUBSYS_07381028&REV_04\3&36CB97A3&0&5A","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 2 - 204A","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 2 - 204A","PCI\VEN_8086&DEV_204A&SUBSYS_07381028&REV_04\3&36CB97A3&0&6A","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 2 - 204A","System.String[]"
"ACTON III","BTHENUM\DEV_6C47604EDC78\7&B265E0C&0&BLUETOOTHDEVICE_6C47604EDC78","OK","Bluetooth","ACTON III","System.String[]"
"High Definition Audio Controller","PCI\VEN_10DE&DEV_0FBA&SUBSYS_11901028&REV_A1\4&AF64B88&0&0100","OK","System","High Definition Audio Controller","System.String[]"
"Intel(R) Thermal subsystem - A2B1","PCI\VEN_8086&DEV_A2B1&SUBSYS_07381028&REV_00\3&11583659&0&A2","OK","System","Intel(R) Thermal subsystem - A2B1","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#000001775FF00000","OK","Volume","Volume","System.String[]"
"LG HDR 4K (2- NVIDIA High Definition Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{7AFC1ECD-153A-4D5A-9EE6-7DA3A9874D07}","OK","AudioEndpoint","LG HDR 4K (2- NVIDIA High Definition Audio)","System.String[]"
"Microsoft Print to PDF","SWD\PRINTENUM\{FB566511-5463-47C9-9657-6787E06BCB13}","OK","PrintQueue","Microsoft Print to PDF","System.String[]"
"Dell Universal Receiver HID-compliant vendor-defined device","HID\VID_413C&PID_4503&MI_02&COL02\8&37AF421F&0&0001","Unknown","HIDClass","Dell Universal Receiver HID-compliant vendor-defined device","System.String[]"
"Volume","STORAGE\VOLUME\{882ED162-E4D1-11EC-A496-806E6F6E6963}#0000000000004400","OK","Volume","Volume","System.String[]"
"LG HDR 4K (2- NVIDIA High Definition Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{803128C0-E116-447C-8D4E-BAE337574A21}","Unknown","AudioEndpoint","LG HDR 4K (2- NVIDIA High Definition Audio)","System.String[]"
"Volume","STORAGE\VOLUME\{882ED162-E4D1-11EC-A496-806E6F6E6963}#000001D7F6800000","OK","Volume","Volume","System.String[]"
"UMBus Enumerator","UMB\UMB\1&841921D&0&TS_USB_HUB_ENUMERATOR","Unknown","System","UMBus Enumerator","System.String[]"
"Motherboard resources","ACPI\PNP0C02\PCHRESV","OK","System","Motherboard resources","System.String[]"
"TCL 8132 Sound Bar Avrcp Transport","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&0001000F_PID&1200\7&B265E0C&0&2CFDB3C85F48_C00000000","OK","Bluetooth","TCL 8132 Sound Bar Avrcp Transport","System.String[]"
"LG HDR 4K (2- NVIDIA High Definition Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{0ADEEDFF-397B-4336-910C-8A6DF201662B}","Unknown","AudioEndpoint","LG HDR 4K (2- NVIDIA High Definition Audio)","System.String[]"
"HID-compliant vendor-defined device","HID\VID_046D&PID_C534&MI_01&COL04\8&2562B3F7&0&0003","Unknown","HIDClass","HID-compliant vendor-defined device","System.String[]"
"Wi-Fi 2","SWD\RADIO\{DE50E9CA-E602-46CF-AC83-8945E16ED9A3}","Unknown","SoftwareDevice","Wi-Fi 2",
"Microsoft Hyper-V NT Kernel Integration VSP","ROOT\VKRNLINTVSP\0000","OK","System","Microsoft Hyper-V NT Kernel Integration VSP","System.String[]"
"HID-compliant vendor-defined device","HID\VID_046D&PID_C52B&MI_02&COL02\8&3801AC30&0&0001","Unknown","HIDClass","HID-compliant vendor-defined device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2080","PCI\VEN_8086&DEV_2080&SUBSYS_07381028&REV_04\3&2411E6FE&0&F0","OK","System","Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2080","System.String[]"
"Speakers (ACTON III)","SWD\MMDEVAPI\{0.0.0.00000000}.{067C8B56-C926-44B2-8513-35F727ADF6BE}","Unknown","AudioEndpoint","Speakers (ACTON III)","System.String[]"
"Wi-Fi","SWD\RADIO\{2AFC52F9-3444-40D7-AF1E-B0DD88FE327A}","Unknown","SoftwareDevice","Wi-Fi",
"Generic PnP Monitor","DISPLAY\GSM774F\1&8713BCA&0&UID0","Unknown","Monitor","Generic PnP Monitor","System.String[]"
"Wi-Fi 2","SWD\RADIO\{B52D5C1A-B262-41DA-97CC-8F05BD2F5190}","Unknown","SoftwareDevice","Wi-Fi 2",
"High precision event timer","ACPI\PNP0103\4&3816902A&0","OK","System","High precision event timer","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#000001A351F00000","OK","Volume","Volume","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 1 - 2046","PCI\VEN_8086&DEV_2046&SUBSYS_07381028&REV_04\3&36CB97A3&0&56","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 1 - 2046","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 1 - 2046","PCI\VEN_8086&DEV_2046&SUBSYS_07381028&REV_04\3&36CB97A3&0&66","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 1 - 2046","System.String[]"
"USB Input Device","USB\VID_1532&PID_0084&MI_03\6&2E0CAF7&0&0003","OK","HIDClass","USB Input Device","System.String[]"
"Headset (E7 Hands-Free)","SWD\MMDEVAPI\{0.0.0.00000000}.{8E14CC62-F866-409B-B78B-539C753FF239}","Unknown","AudioEndpoint","Headset (E7 Hands-Free)","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2014","PCI\VEN_8086&DEV_2014&SUBSYS_07381028&REV_04\3&11583659&0&40","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2014","System.String[]"
"Volume","STORAGE\VOLUME\{882ED162-E4D1-11EC-A496-806E6F6E6963}#0000025BCC800000","OK","Volume","Volume","System.String[]"
"HID-compliant consumer control device","HID\VID_046D&PID_C52B&MI_01&COL02\8&26EEC2E0&0&0001","Unknown","HIDClass","HID-compliant consumer control device","System.String[]"
"Intel(R) iCLS Client","SWD\DRIVERENUM\OEM_ICLS_COMPONENT&4&3C1AF6B&0","OK","SoftwareComponent","Intel(R) iCLS Client","System.String[]"
"Volume","STORAGE\VOLUME\{756BD17C-03E4-11ED-A4D5-984827E35863}#0000000008100000","Unknown","Volume","Volume","System.String[]"
"Intel(R) Management Engine Interface #1","PCI\VEN_8086&DEV_A2BA&SUBSYS_07381028&REV_00\3&11583659&0&B0","OK","System","Intel(R) Management Engine Interface #1","System.String[]"
"AAP Server","BTHENUM\{74EC2172-0BAD-4D01-8F77-997B2BE0722A}_VID&0001004C_PID&2002\7&B265E0C&0&94B01FA9D419_C00000000","OK",,"AAP Server","System.String[]"
"E7 Avrcp Transport","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&FC58FA783748_C00000000","OK","Bluetooth","E7 Avrcp Transport","System.String[]"
"Intel(R) 200 Series Chipset Family LPC Controller (C422) - A2D3","PCI\VEN_8086&DEV_A2D3&SUBSYS_07381028&REV_00\3&11583659&0&F8","OK","System","Intel(R) 200 Series Chipset Family LPC Controller (C422) - A2D3","System.String[]"
"Volume","STORAGE\VOLUME\{882ED160-E4D1-11EC-A496-806E6F6E6963}#000000001F400000","OK","Volume","Volume","System.String[]"
"USB Input Device","USB\VID_1532&PID_0084&MI_02\6&2E0CAF7&0&0002","OK","HIDClass","USB Input Device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","PCI\VEN_8086&DEV_2035&SUBSYS_00000000&REV_04\3&3AA59A3&0&2A","OK","System","Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","System.String[]"
"EMBERTON Avrcp Transport","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_LOCALMFG&0002\7&B265E0C&0&0421446BBFFB_C00000000","OK","Bluetooth","EMBERTON Avrcp Transport","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#0000000020400000","OK","Volume","Volume","System.String[]"
"Volume","STORAGE\VOLUME\{882ED162-E4D1-11EC-A496-806E6F6E6963}#0000000001000000","OK","Volume","Volume","System.String[]"
"USB Input Device","USB\VID_1532&PID_0084&MI_01\6&2E0CAF7&0&0001","OK","HIDClass","USB Input Device","System.String[]"
"UMBus Root Bus Enumerator","ROOT\UMBUS\0000","OK","System","UMBus Root Bus Enumerator","System.String[]"
"Volume","STORAGE\VOLUME\{882ED162-E4D1-11EC-A496-806E6F6E6963}#00000287BE800000","OK","Volume","Volume","System.String[]"
"HID Keyboard Device","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280&COL01\9&235D9243&0&0000","Unknown","Keyboard","HID Keyboard Device","System.String[]"
"WDMyCloudEX4","SWD\DAFUPNPPROVIDER\UUID:55076F6E-6B79-4D65-64CF-0090A96B5866","Unknown","DigitalMediaDevices","WDMyCloudEX4","System.String[]"
"Advanced programmable interrupt controller","ACPI\PNP0003\3&11583659&0","OK","System","Advanced programmable interrupt controller","System.String[]"
"Hitachi HUA723030ALA640","SCSI\DISK&VEN_ATA&PROD_HITACHI_HUA72303\4&296A7F82&0&000000","OK","DiskDrive","Hitachi HUA723030ALA640","System.String[]"
"USB DISK","SWD\WPDBUSENUM\_??_USBSTOR#DISK&VEN_&PROD_USB_DISK_3.0&REV_PMAP#07190C73EC8DE198&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B}","Unknown","WPD","USB DISK",
"Wi-Fi","SWD\RADIO\{56F92D8A-2809-40CF-B9A6-8E40EDFD04ED}","Unknown","SoftwareDevice","Wi-Fi",
"Razer DeathAdder V2","USB\VID_1532&PID_0084&MI_00\6&2E0CAF7&0&0000","OK","HIDClass","Razer DeathAdder V2","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\10","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\11","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\12","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\13","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_0","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_1","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_2","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_3","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_4","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_5","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_6","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_7","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_8","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_9","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_A","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_B","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_C","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_D","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_E","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_85_-_INTEL(R)_XEON(R)_W-2155_CPU_@_3.30GHZ\_F","OK","Processor","Intel(R) Xeon(R) W-2155 CPU @ 3.30GHz","System.String[]"
"HID-compliant vendor-defined device","HID\VID_046D&PID_C52B&MI_01&COL04\7&39DE0742&0&0003","Unknown","HIDClass","HID-compliant vendor-defined device","System.String[]"
"Microsoft Radio Device Enumeration Bus","SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}","OK","SoftwareDevice","Microsoft Radio Device Enumeration Bus",
"Bluetooth Low Energy GATT compliant HID device","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&0021","OK","HIDClass","Bluetooth Low Energy GATT compliant HID device","System.String[]"
"HID-compliant consumer control device","HID\VID_1532&PID_0084&MI_01&COL02\7&337D3F2A&1&0001","OK","HIDClass","HID-compliant consumer control device","System.String[]"
"HID-compliant system controller","HID\VID_046D&PID_C52B&MI_01&COL03\8&2CF18200&0&0002","Unknown","HIDClass","HID-compliant system controller","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT10","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT11","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT12","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT13","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT14","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT15","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT16","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT17","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT18","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT19","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT20","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT21","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT22","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT23","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT24","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"Generic volume shadow copy","STORAGE\VOLUMESNAPSHOT\HARDDISKVOLUMESNAPSHOT25","Unknown","VolumeSnapshot","Generic volume shadow copy","System.String[]"
"NVIDIA High Definition Audio","HDAUDIO\FUNC_01&VEN_10DE&DEV_001C&SUBSYS_103C102F&REV_1001\5&4780CCF&0&0001","OK","MEDIA","NVIDIA High Definition Audio","System.String[]"
"E7","BTHENUM\DEV_FC58FA783748\7&B265E0C&0&BLUETOOTHDEVICE_FC58FA783748","OK","Bluetooth","E7","System.String[]"
"Microsoft Device Association Root Enumerator","SWD\MSDAS\{CE958E9A-424F-4C88-86F4-11314821E75A}","OK","SoftwareDevice","Microsoft Device Association Root Enumerator",
"ACPI x64-based PC","ROOT\ACPI_HAL\0000","OK","Computer","ACPI x64-based PC","System.String[]"
"USB DISK 3.0 USB Device","USBSTOR\DISK&VEN_&PROD_USB_DISK_3.0&REV_PMAP\07190C73F88BEB45&0","Unknown","DiskDrive","USB DISK 3.0 USB Device","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#000001CF43F00000","OK","Volume","Volume","System.String[]"
"Signa S2","BTHENUM\{0000110B-0000-1000-8000-00805F9B34FB}_VID&0002099A_PID&0500\7&B265E0C&0&88D0397F939D_C00000000","OK","MEDIA","Signa S2","System.String[]"
"Programmable interrupt controller","ACPI\PNP0000\4&3816902A&0","OK","System","Programmable interrupt controller","System.String[]"
"USB Root Hub (USB 3.0)","USB\ROOT_HUB30\4&485095D&0&0","OK","USB","USB Root Hub (USB 3.0)","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&7&UID774401","OK","Monitor","Generic PnP Monitor","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&7&UID774403","OK","Monitor","Generic PnP Monitor","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&7&UID774405","OK","Monitor","Generic PnP Monitor","System.String[]"
"Generic PnP Monitor","DISPLAY\GSM774F\5&1ECD3B42&7&UID774407","OK","Monitor","Generic PnP Monitor","System.String[]"
"PCI Express Root Complex","ACPI\PNP0A08\0","OK","System","PCI Express Root Complex","System.String[]"
"PCI Express Root Complex","ACPI\PNP0A08\1","OK","System","PCI Express Root Complex","System.String[]"
"PCI Express Root Complex","ACPI\PNP0A08\2","OK","System","PCI Express Root Complex","System.String[]"
"PCI Express Root Complex","ACPI\PNP0A08\3","OK","System","PCI Express Root Complex","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2043","PCI\VEN_8086&DEV_2043&SUBSYS_07381028&REV_04\3&36CB97A3&0&53","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2043","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2043","PCI\VEN_8086&DEV_2043&SUBSYS_07381028&REV_04\3&36CB97A3&0&63","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2043","System.String[]"
"Volume","STORAGE\VOLUME\{882ED160-E4D1-11EC-A496-806E6F6E6963}#0000000027400000","OK","Volume","Volume","System.String[]"
"Logitech USB Input Device","USB\VID_046D&PID_C52B&MI_00\7&2F158407&0&0000","Unknown","HIDClass","Logitech USB Input Device","System.String[]"
"HID-compliant vendor-defined device","HID\VID_046D&PID_C52B&MI_02&COL01\8&13BEA6A2&0&0000","Unknown","HIDClass","HID-compliant vendor-defined device","System.String[]"
"Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&000A","OK","Bluetooth","Generic Attribute Profile","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2085","PCI\VEN_8086&DEV_2085&SUBSYS_07381028&REV_04\3&2411E6FE&0&F5","OK","System","Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2085","System.String[]"
"Generic SuperSpeed USB Hub","USB\VID_0BDA&PID_0411\5&129774C1&0&26","OK","USB","Generic SuperSpeed USB Hub","System.String[]"
"USB Mass Storage Device","USB\VID_13FE&PID_6300\07190C73F88BEB45","Unknown","USB","USB Mass Storage Device","System.String[]"
"Intel(R) PCI Express Root Port #1 - A290","PCI\VEN_8086&DEV_A290&SUBSYS_07381028&REV_F0\3&11583659&0&E0","OK","System","Intel(R) PCI Express Root Port #1 - A290","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","PCI\VEN_8086&DEV_2018&SUBSYS_07381028&REV_04\3&3AA59A3&0&A8","OK","System","Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","PCI\VEN_8086&DEV_2018&SUBSYS_07381028&REV_04\3&3AA59A3&0&B0","OK","System","Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","PCI\VEN_8086&DEV_2018&SUBSYS_07381028&REV_04\3&3AA59A3&0&B4","OK","System","Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","System.String[]"
"Microsoft Hyper-V PCI Server","ROOT\VPCIVSP\0000","OK","System","Microsoft Hyper-V PCI Server","System.String[]"
"Service Discovery Service","BTHENUM\{00001000-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&2002\7&B265E0C&0&94B01FA9D419_C00000000","OK","Bluetooth","Service Discovery Service","System.String[]"
"Intel(R) C600+/C220+ series chipset SATA RAID Controller","PCI\VEN_8086&DEV_2826&SUBSYS_07381028&REV_00\3&11583659&0&B8","OK","SCSIAdapter","Intel(R) C600+/C220+ series chipset SATA RAID Controller","System.String[]"
"Microsoft IPP Class Driver","SWD\PRINTENUM\WSD-851E1F51-872C-401B-8EFF-5A4CB4F20C57","OK","Printer","Microsoft IPP Class Driver","System.String[]"
"Airoha_IAP2","BTHENUM\{00000000-DECA-FADE-DECA-DEAFDECACAFF}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","OK",,"Airoha_IAP2","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2057","PCI\VEN_8086&DEV_2057&SUBSYS_07381028&REV_04\3&2411E6FE&0&EB","OK","System","Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2057","System.String[]"
"HID-compliant consumer control device","HID\VID_FFFF&PID_BACE&REV_0002&MI_00&COL03\3&258C3FBC&0&0002","Unknown","HIDClass","HID-compliant consumer control device","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#0000000000004400","OK","Volume","Volume","System.String[]"
"Headset (Alex’s AirPods Hands-Free)","SWD\MMDEVAPI\{0.0.0.00000000}.{31F9D18C-31E2-459C-B5EC-11BA7638D988}","Unknown","AudioEndpoint","Headset (Alex’s AirPods Hands-Free)","System.String[]"
"Microsoft ACPI-Compliant System","ACPI_HAL\PNP0C08\0","OK","System","Microsoft ACPI-Compliant System","System.String[]"
,"HTREE\ROOT\0","OK",,,
"USB Mass Storage Device","USB\VID_0781&PID_5591\04012F661212A3B2CB0CBA4A7051110B077A3781A27B1AA22A719F3A17748ACB67D50000000000000000000026578A28000D181891558107162CA16E","Unknown","USB","USB Mass Storage Device","System.String[]"
"ACTON III Avrcp Transport","BTHENUM\{0000110C-0000-1000-8000-00805F9B34FB}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","OK","Bluetooth","ACTON III Avrcp Transport","System.String[]"
"Microsoft Basic Render Driver","ROOT\BASICRENDER\0000","OK","System","Microsoft Basic Render Driver","System.String[]"
